u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
42429570,42449613,0,"[195743228, 421832645]",West Street,trunk,30 mph,True,False,135.583,"LINESTRING (-74.0132124 40.7152226, -74.0131862 40.7153349, -74.0130407 40.715966, -74.012956 40.7163227, -74.0129331 40.7164234)","['4', '5']",NY 9A,,,,,
42429570,42429565,0,"[46165812, 1234696599]",Murray Street,secondary,25 mph,False,"[False, True]",161.87,"LINESTRING (-74.0132124 40.7152226, -74.0130952 40.7152035, -74.0130693 40.7151992, -74.012532 40.7151116, -74.0121722 40.7150547, -74.0114888 40.7149457, -74.0114167 40.7149333, -74.0113363 40.714913)",2,,,,,,
42429595,3588508439,0,46165810,Murray Street,residential,25 mph,True,False,83.821,"LINESTRING (-74.0155973 40.7155687, -74.015521 40.7155476, -74.0154479 40.7155329, -74.0147767 40.7154389, -74.0147248 40.7154372, -74.0146236 40.7154525)",2,,,,,,
42429595,42446849,0,46165815,North End Avenue,residential,25 mph,False,False,58.289,"LINESTRING (-74.0155973 40.7155687, -74.0156455 40.7155092, -74.0159482 40.715117)",4,,,,,,
42429595,42429630,0,"[1233090489, 584971510]",North End Avenue,residential,25 mph,False,"[False, True]",34.197,"LINESTRING (-74.0155973 40.7155687, -74.0154911 40.7156979, -74.015432 40.7157698, -74.0153827 40.7158297)",4,,,,,,
42429630,42429595,0,"[1233090489, 584971510]",North End Avenue,residential,25 mph,False,"[False, True]",34.197,"LINESTRING (-74.0153827 40.7158297, -74.015432 40.7157698, -74.0154911 40.7156979, -74.0155973 40.7155687)",4,,,,,,
42429630,42446800,0,584971516,North End Avenue,residential,25 mph,False,True,19.433999999999997,"LINESTRING (-74.0153827 40.7158297, -74.0153056 40.715928, -74.0152648 40.7159799)",2,,,,,,
42429630,42429633,0,"[1068067608, 1068067609, 46165807]",Murray Street,residential,25 mph,False,"[False, True]",103.31700000000001,"LINESTRING (-74.0153827 40.7158297, -74.0155049 40.7158827, -74.0155378 40.7158968, -74.0157203 40.7159813, -74.0157694 40.7160031, -74.0161737 40.7161886, -74.0163304 40.7162605, -74.0163497 40.7162693, -74.016373 40.7162759, -74.0164018 40.7162814, -74.0164449 40.7162867)",2,,,,,,
42429633,42445291,0,5671307,River Terrace,residential,25 mph,False,False,167.79199999999997,"LINESTRING (-74.0164449 40.7162867, -74.0164401 40.7163703, -74.0164328 40.7164618, -74.016422 40.7165629, -74.016405 40.7166624, -74.0163774 40.7167684, -74.0163417 40.716873, -74.0163109 40.716948, -74.0162933 40.7169849, -74.01626 40.7170498, -74.0162226 40.7171209, -74.0162107 40.7171412, -74.0161454 40.7172492, -74.01607 40.7173573, -74.0160024 40.7174389, -74.0159298 40.7175205, -74.0158483 40.7176072, -74.0158351 40.7176212, -74.0157766 40.7176755)",2,,,,,,
42429633,42445286,0,5671307,River Terrace,residential,25 mph,False,True,84.763,"LINESTRING (-74.0164449 40.7162867, -74.0164472 40.7161678, -74.0164505 40.7160983, -74.0164569 40.7160345, -74.0164762 40.7159402, -74.0165014 40.7158521, -74.016529 40.7157808, -74.0165683 40.7156969, -74.0166292 40.7155813, -74.0166469 40.7155474)",2,,,,,,
