osmid,y,x,highway,street_count,ref,geometry
42446849,40.715117,-74.0159482,,3,,POINT (-74.0159482 40.715117)
42446875,40.7352035,-73.98579,traffic_signals,4,,POINT (-73.98579 40.7352035)
42446879,40.7345982,-73.9843469,,3,,POINT (-73.9843469 40.7345982)
42446885,40.7339281,-73.9827492,,3,,POINT (-73.9827492 40.7339281)
42446889,40.7332587,-73.9811531,traffic_signals,3,,POINT (-73.9811531 40.7332587)
42446902,40.732318,-74.001663,,3,,POINT (-74.001663 40.732318)
42446919,40.8341688,-73.9392318,,3,,POINT (-73.9392318 40.8341688)
42446925,40.7395123,-73.9847532,traffic_signals,4,,POINT (-73.9847532 40.7395123)
42446932,40.7420239,-73.9829135,traffic_signals,4,,POINT (-73.9829135 40.7420239)
42446933,40.744495,-73.9811045,traffic_signals,4,,POINT (-73.9811045 40.744495)
42446934,40.7451153,-73.9806499,traffic_signals,4,,POINT (-73.9806499 40.7451153)
42446935,40.7457353,-73.9801966,traffic_signals,4,,POINT (-73.9801966 40.7457353)
42446941,40.7476825,-73.9787824,traffic_signals,4,,POINT (-73.9787824 40.7476825)
42446942,40.7482985,-73.9783302,traffic_signals,4,,POINT (-73.9783302 40.7482985)
42446945,40.7489216,-73.9778802,traffic_signals,4,,POINT (-73.9778802 40.7489216)
42446949,40.7501605,-73.9769755,traffic_signals,4,,POINT (-73.9769755 40.7501605)
42446971,40.7521215,-73.9755534,traffic_signals,3,,POINT (-73.9755534 40.7521215)
42446977,40.752741,-73.975102,traffic_signals,3,,POINT (-73.975102 40.752741)
42446986,40.7546125,-73.9737345,traffic_signals,4,,POINT (-73.9737345 40.7546125)
42446987,40.7552316,-73.9732717,traffic_signals,4,,POINT (-73.9732717 40.7552316)
42446991,40.756498,-73.972362,traffic_signals,4,,POINT (-73.972362 40.756498)
42446994,40.7577574,-73.9714431,traffic_signals,4,,POINT (-73.9714431 40.7577574)
42446998,40.7590024,-73.970533,traffic_signals,4,,POINT (-73.970533 40.7590024)
42447007,40.7616103,-73.9686382,traffic_signals,4,,POINT (-73.9686382 40.7616103)
42447009,40.7622304,-73.9681876,traffic_signals,4,,POINT (-73.9681876 40.7622304)
42447020,40.7628736,-73.9677191,traffic_signals,4,,POINT (-73.9677191 40.7628736)
42447030,40.7641121,-73.9668167,traffic_signals,4,,POINT (-73.9668167 40.7641121)
42447060,40.7659911,-73.9654486,traffic_signals,4,,POINT (-73.9654486 40.7659911)
42447069,40.7666145,-73.9649882,traffic_signals,4,,POINT (-73.9649882 40.7666145)
42447076,40.7684894,-73.9636212,traffic_signals,4,,POINT (-73.9636212 40.7684894)
42447084,40.7730155,-73.9603206,traffic_signals,4,,POINT (-73.9603206 40.7730155)
42447105,40.7749669,-73.9588958,traffic_signals,4,,POINT (-73.9588958 40.7749669)
42447115,40.7762807,-73.957939,traffic_signals,4,,POINT (-73.957939 40.7762807)
42447126,40.7775539,-73.9570119,traffic_signals,4,,POINT (-73.9570119 40.7775539)
42447132,40.7788196,-73.9560836,traffic_signals,4,,POINT (-73.9560836 40.7788196)
42447136,40.7801748,-73.9550942,traffic_signals,4,,POINT (-73.9550942 40.7801748)
42447144,40.7826939,-73.953256,traffic_signals,4,,POINT (-73.953256 40.7826939)
42447149,40.7833098,-73.9528082,traffic_signals,4,,POINT (-73.9528082 40.7833098)
42447166,40.7858747,-73.9509302,traffic_signals,4,,POINT (-73.9509302 40.7858747)
42447169,40.7865479,-73.9504365,traffic_signals,4,,POINT (-73.9504365 40.7865479)
42447174,40.7871827,-73.9499793,traffic_signals,4,,POINT (-73.9499793 40.7871827)
42447176,40.7884305,-73.9490654,traffic_signals,4,,POINT (-73.9490654 40.7884305)
42447179,40.7915775,-73.9467764,traffic_signals,4,,POINT (-73.9467764 40.7915775)
42447182,40.7922499,-73.9462871,traffic_signals,5,,POINT (-73.9462871 40.7922499)
42447187,40.794183,-73.9448716,traffic_signals,4,,POINT (-73.9448716 40.794183)
42447192,40.7954494,-73.9439488,traffic_signals,4,,POINT (-73.9439488 40.7954494)
42447196,40.7960809,-73.9434893,traffic_signals,4,,POINT (-73.9434893 40.7960809)
42447199,40.7986336,-73.9416222,traffic_signals,4,,POINT (-73.9416222 40.7986336)
42447201,40.7993112,-73.9411335,traffic_signals,4,,POINT (-73.9411335 40.7993112)
42447206,40.80182,-73.9392953,traffic_signals,4,,POINT (-73.9392953 40.80182)
42447207,40.8030771,-73.9383782,,4,,POINT (-73.9383782 40.8030771)
42447208,40.8056792,-73.9364782,traffic_signals,3,,POINT (-73.9364782 40.8056792)
42447209,40.8062963,-73.9360272,traffic_signals,4,,POINT (-73.9360272 40.8062963)
42447210,40.8075469,-73.935112,,3,,POINT (-73.935112 40.8075469)
42447228,40.7686524,-73.9698216,traffic_signals,4,,POINT (-73.9698216 40.7686524)
42447230,40.7672618,-73.966522,traffic_signals,4,,POINT (-73.966522 40.7672618)
42447235,40.7659377,-73.9633856,traffic_signals,4,,POINT (-73.9633856 40.7659377)
42447237,40.7639926,-73.9587694,traffic_signals,4,,POINT (-73.9587694 40.7639926)
42447246,40.7200394,-74.0039146,traffic_signals,4,,POINT (-74.0039146 40.7200394)
42447249,40.7194761,-74.0043754,traffic_signals,4,,POINT (-74.0043754 40.7194761)
42447255,40.7173295,-73.9994477,,4,,POINT (-73.9994477 40.7173295)
42447273,40.7947885,-73.9642909,,3,,POINT (-73.9642909 40.7947885)
42447275,40.7954638,-73.9638068,,3,,POINT (-73.9638068 40.7954638)
42447278,40.7960913,-73.9633452,,3,,POINT (-73.9633452 40.7960913)
42447281,40.7967143,-73.9628898,,3,,POINT (-73.9628898 40.7967143)
42447285,40.7973362,-73.9624366,,4,,POINT (-73.9624366 40.7973362)
42447295,40.7999592,-73.9605219,traffic_signals,4,,POINT (-73.9605219 40.7999592)
42447303,40.8005867,-73.96006,traffic_signals,4,,POINT (-73.96006 40.8005867)
42447317,40.8037326,-73.9577756,traffic_signals,4,,POINT (-73.9577756 40.8037326)
42447323,40.8057124,-73.956335,traffic_signals,4,,POINT (-73.956335 40.8057124)
42447326,40.8063364,-73.9558716,traffic_signals,4,,POINT (-73.9558716 40.8063364)
42447330,40.8069655,-73.9554122,traffic_signals,4,,POINT (-73.9554122 40.8069655)
42447336,40.8088533,-73.9540464,traffic_signals,4,,POINT (-73.9540464 40.8088533)
42447346,40.8165367,-73.9349057,traffic_signals,3,,POINT (-73.9349057 40.8165367)
42447389,40.8217502,-73.9472408,,3,,POINT (-73.9472408 40.8217502)
42447399,40.8221058,-73.9480802,traffic_signals,4,,POINT (-73.9480802 40.8221058)
42447404,40.8231195,-73.9504964,traffic_signals,4,,POINT (-73.9504964 40.8231195)
42447418,40.841087,-73.937929,traffic_signals,4,,POINT (-73.937929 40.841087)
42447419,40.8432059,-73.9429517,,3,,POINT (-73.9429517 40.8432059)
42447428,40.7162003,-73.9875301,traffic_signals,3,,POINT (-73.9875301 40.7162003)
42447435,40.7217853,-73.9846444,,3,,POINT (-73.9846444 40.7217853)
42448141,40.8095866,-73.9399455,traffic_signals,4,,POINT (-73.9399455 40.8095866)
42448162,40.718278,-74.0070866,traffic_signals,5,,POINT (-74.0070866 40.718278)
42448171,40.717674,-74.0057722,traffic_signals,4,,POINT (-74.0057722 40.717674)
42448203,40.7795823,-73.9618327,traffic_signals,3,,POINT (-73.9618327 40.7795823)
42448216,40.778196,-73.9585432,traffic_signals,4,,POINT (-73.9585432 40.778196)
42448238,40.7768695,-73.9554065,traffic_signals,4,,POINT (-73.9554065 40.7768695)
42448254,40.7749252,-73.9507993,traffic_signals,4,,POINT (-73.9507993 40.7749252)
42448257,40.7729859,-73.9461964,traffic_signals,4,,POINT (-73.9461964 40.7729859)
42448278,40.7950638,-73.9331708,traffic_signals,4,,POINT (-73.9331708 40.7950638)
42448283,40.7957326,-73.9326614,traffic_signals,4,,POINT (-73.9326614 40.7957326)
42448317,40.7628699,-73.969724,traffic_signals,4,,POINT (-73.969724 40.7628699)
42448326,40.7596231,-73.961955,traffic_signals,4,,POINT (-73.961955 40.7596231)
42448329,40.7586736,-73.9597228,traffic_signals,4,,POINT (-73.9597228 40.7586736)
42448338,40.7602895,-73.9716131,traffic_signals,4,,POINT (-73.9716131 40.7602895)
42448379,40.75896,-73.9684914,traffic_signals,5,,POINT (-73.9684914 40.75896)
42448390,40.7570205,-73.9638565,traffic_signals,4,,POINT (-73.9638565 40.7570205)
42448406,40.7558954,-73.9612132,turning_circle,1,,POINT (-73.9612132 40.7558954)
42448430,40.7116012,-73.9942643,traffic_signals,4,,POINT (-73.9942643 40.7116012)
42448440,40.7117454,-73.9924507,,3,,POINT (-73.9924507 40.7117454)
42448469,40.7109496,-74.0036162,traffic_signals,4,,POINT (-74.0036162 40.7109496)
42448483,40.7108044,-74.0034015,,3,,POINT (-74.0034015 40.7108044)
42448506,40.8019538,-73.9535577,traffic_signals,4,,POINT (-73.9535577 40.8019538)
42448549,40.7281021,-74.0021007,traffic_signals,4,,POINT (-74.0021007 40.7281021)
42448552,40.7258712,-73.9975736,traffic_signals,4,,POINT (-73.9975736 40.7258712)
42448558,40.7270026,-73.9998695,traffic_signals,4,,POINT (-73.9998695 40.7270026)
42448563,40.7286179,-74.0053218,traffic_signals,4,,POINT (-74.0053218 40.7286179)
42448568,40.7289809,-74.0093502,traffic_signals,4,,POINT (-74.0093502 40.7289809)
42448570,40.7291048,-74.0105566,traffic_signals,4,,POINT (-74.0105566 40.7291048)
42448578,40.706378,-74.0094998,,3,,POINT (-74.0094998 40.706378)
42448583,40.7079949,-74.0080097,,4,,POINT (-74.0080097 40.7079949)
42448593,40.7104144,-74.0056176,traffic_signals,3,,POINT (-74.0056176 40.7104144)
42448605,40.8135001,-73.9531087,,3,,POINT (-73.9531087 40.8135001)
42448607,40.8143012,-73.9530769,traffic_signals,4,,POINT (-73.9530769 40.8143012)
42448611,40.8150729,-73.9529724,traffic_signals,4,,POINT (-73.9529724 40.8150729)
42448655,40.8253247,-73.9457322,stop,4,,POINT (-73.9457322 40.8253247)
42448661,40.8259476,-73.9452763,stop,4,,POINT (-73.9452763 40.8259476)
42448674,40.8283084,-73.943131,traffic_signals,4,,POINT (-73.943131 40.8283084)
42448693,40.7401693,-73.9863033,traffic_signals,4,,POINT (-73.9863033 40.7401693)
42448701,40.7388385,-73.9831474,traffic_signals,4,,POINT (-73.9831474 40.7388385)
42448707,40.7368956,-73.9785412,traffic_signals,4,,POINT (-73.9785412 40.7368956)
42448714,40.7354563,-73.9751359,traffic_signals,4,,POINT (-73.9751359 40.7354563)
